id,name,brand,year,purchase_date,active,created_at,next_review_date,deleted_at,current_hours,hours_per_revision,last_revision_hours,next_revision_hours,hours_until_revision,cost_center_id
04561899-3a03-45c9-aecd-c0c2d5dee96c,Retroescavadeira 310P,John Deere,2025,2025-11-28,true,2025-11-28 17:26:46.600784+00,2025-11-28,,0,250,,250,250,cabralia
06fbbfcf-c5b9-4269-9dd5-f99df215d230,Motoniveladora 620P (01),John Deer,2025,2026-11-28,true,2025-11-28 17:19:03.880768+00,2025-11-28,,0,250,,250,250,valenca
2ae5746e-ff24-40ee-9a83-84d93b28a27d,Kauai,Jahajah,2025,2025-11-27,true,2025-11-28 00:33:57.259926+00,2025-11-27,2025-11-28 00:34:06.794+00,0,250,,250,250,valenca
451c2880-49ec-487d-81a7-089b4caa63cd,Motoniveladora,"John Deere ",2025,2025-11-25,true,2025-11-25 17:38:02.606377+00,2026-11-25,2025-11-26 01:11:43.017+00,0,250,,250,250,valenca
4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,Bobcat 365B,Liu Gong,2025,2026-11-28,true,2025-11-28 17:27:23.683811+00,2025-11-28,,200,250,,250,250,cabralia
509f4c76-3601-4e80-a6f8-e3159ba9c5d2,Cadeira Odonto 011111,ABC,2021,2025-11-24,true,2025-11-24 22:19:50.472705+00,2025-11-24,2025-11-27 18:46:03.697+00,0,250,,250,250,cna
514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,Motoniveladora,XCMG,2024,2025-11-28,true,2025-11-28 17:29:23.144213+00,2025-11-28,,0,250,,250,250,cabralia
66451b74-19f0-4d60-a734-0d3ae93308ce,Motoniveladora 620P (03),John Deere,2025,2026-11-28,true,2025-11-28 17:19:58.876859+00,2025-11-28,,0,250,,250,250,valenca
75a983fd-3238-4f51-ae04-bc28ffa352d2,Trator de Esteira,John Deere,2025,2025-11-28,true,2025-11-28 17:31:12.431172+00,2025-11-28,,0,250,,250,250,cna
785c48c7-c574-48b6-b144-29880e25b43f,Motoniveladora,Caterpillar,2025,2025-11-24,true,2025-11-24 22:46:01.560884+00,,2025-11-26 23:47:38.546+00,0,250,,250,250,cabralia
7d4cf85c-baa6-44cd-af51-4c7e8abf3358,Motoniveladora 4180D,Liu Gong,2024,2025-11-27,true,2025-11-27 19:38:21.437047+00,2027-11-27,,0,250,,250,250,cabralia
7f9f014e-e92d-4314-b4cb-766b59931302,Motoniveladora 620P (02),"John Deere ",2025,2026-11-28,true,2025-11-28 17:19:29.888137+00,2025-11-28,,0,250,,250,250,valenca
930fb113-8603-479a-afa0-19474af2d8f4,Hahaha,Ddd,2025,2025-11-27,true,2025-11-27 18:47:58.3845+00,2025-11-27,2025-11-27 19:10:56.677+00,0,250,,250,250,cabralia
9f675532-685d-412c-b911-7e3ca20d1fc9,Escavadeira 210P,John Deere,2025,2025-11-28,true,2025-11-28 17:30:34.14538+00,2025-11-28,,0,250,,250,250,cna
9f7d72da-025b-4905-aa55-0024452b979f,Jfbcb,Hcbchg,2025,2025-11-27,true,2025-11-27 19:10:13.951526+00,2025-11-27,2025-11-27 19:10:44.483+00,0,250,,250,250,valenca
a4a5edef-2841-4e08-8da1-ae951e47351e,Rolo,,2025,2025-11-25,true,2025-11-26 01:12:11.64876+00,2028-11-25,2025-11-26 23:54:19.562+00,0,250,,250,250,valenca
a5fabad5-5fcb-4256-99a7-d765d6f13b7c,Rolo Compactador,Liu Gong,2025,2025-11-28,true,2025-11-28 17:30:54.722829+00,2025-11-28,,0,250,,250,250,cna
a7c84f04-7351-4cd6-b361-555e320a4f21,Autoclave 01,Delta,2020,2020-11-05,true,2025-11-24 22:19:50.472705+00,,2025-11-26 23:47:35.706+00,0,250,,250,250,cabralia
c1ffe272-a139-4948-8a2a-483a52804fb6,Retroescavadeira 310P,"John Deere ",2025,2025-11-28,true,2025-11-28 17:29:50.751198+00,2025-11-28,,0,250,,250,250,cna
c4588d89-1ca6-4a93-8dc7-416569bf940e,Escavadeira 210P,John Deere,2024,2026-11-28,true,2025-11-28 17:22:07.130931+00,2025-11-28,,150,250,,250,650,valenca
c4ffceac-4dd7-4951-b478-6cb7f143416f,Pá Carregadeira 835T,Liu Gong,2025,2026-11-28,true,2025-11-28 17:26:21.935444+00,2025-11-28,,0,250,,250,250,cabralia
dd39670a-04b3-4853-babc-1867e29fd5cd,"Rolo compactador ","Liu Gong ",2025,2025-11-28,true,2025-11-28 17:29:04.794561+00,2025-11-28,,0,250,,250,250,cabralia
f2518721-7f1c-4614-ac56-9f0a87e0a5f5,Rolo compressor,"John Deere ",2025,2025-11-24,true,2025-11-24 22:52:59.703148+00,2027-11-24,2025-11-26 23:47:56.056+00,0,250,,250,250,cabralia
f68c6465-e373-4ea5-b9b5-6e27d1fa2593,"Retroescavadeira 310P ",John Deere,2025,2026-11-28,true,2025-11-28 17:21:37.270687+00,2025-11-28,,0,250,,250,250,valenca
fda47c6a-3d5d-4f6c-85ea-ac5cca63566e,Pá Carregadeira 835T,Liu Gong,2025,2025-11-28,true,2025-11-28 17:30:17.988465+00,2025-11-28,,0,250,,250,250,cna
