id,type,date,value,category,description,payment_method,status,equipment_id,contract_id,created_at,reference,is_fixed,sector,fixed_duration_months,installment_number,installment_total,cost_center_id,debit_amount,debit_description,has_debit
001668ae-fccb-4cdc-befe-ed1e5ef62977,DESPESA,2026-04-01,5315.00,terceirizados,Salário Operador Motoniveladora 2 Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:33.005506+00,,false,terceirizados,,7,,cabralia,0.00,,false
0056d5b5-6e09-43db-9d0f-887254baa227,DESPESA,2026-09-01,21000.00,terceirizados,Locação Caçamba 01 Felipe,,CONFIRMADO,,,2025-12-03 16:18:12.448915+00,,false,felipe_viatransportes,,12,,cabralia,0.00,,false
00cbd345-83a6-4766-883b-c95540a2539e,DESPESA,2026-01-01,3581.66,funcionario,Salário Operador Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:20.591552+00,,false,now,,4,,cabralia,0.00,,false
01e7ec11-9b02-423b-bb9e-18aeb59ed25f,DESPESA,2026-02-01,15000.00,terceirizados,Locação Baú,,CONFIRMADO,,,2025-12-03 16:18:28.044862+00,,false,gestao,,5,,cabralia,0.00,,false
0231ba10-12af-4e97-a9ae-e52c15917e6d,DESPESA,2025-12-01,131924.60,impostos,Imposto Now,,CONFIRMADO,,,2025-12-03 16:46:31.916367+00,,false,imposto,,3,,cabralia,0.00,,false
0245962b-09e1-4811-b7db-b11811163628,DESPESA,2026-04-01,131924.60,impostos,Imposto Now,,CONFIRMADO,,,2025-12-03 16:46:32.580749+00,,false,imposto,,7,,cabralia,0.00,,false
02e28130-6d92-4b40-9ef7-a3e2fa68f03d,DESPESA,2025-12-01,15000.00,terceirizados,Locação Baú,,CONFIRMADO,,,2025-12-03 16:18:27.893656+00,,false,gestao,,3,,cabralia,0.00,,false
0326dee8-de8a-49c4-a7f5-023e890f2d81,DESPESA,2026-09-01,3581.66,funcionario,Salário Operador Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-03 16:18:22.116719+00,,false,now,,12,,cabralia,0.00,,false
03a0dc66-073b-41cf-b049-4de44d8f1654,DESPESA,2026-06-01,-34272.00,terceirizados,Abatimento Imposto,,CONFIRMADO,,,2025-12-03 16:18:15.886383+00,,false,felipe_viatransportes,,9,,cabralia,0.00,,false
040c9ac4-eb49-4acb-a459-191a87e2e0da,DESPESA,2026-03-01,5500.00,gestor,Salário Gestor,,CONFIRMADO,,,2025-12-03 23:12:58.205058+00,,false,now,,6,,cabralia,0.00,,false
0415125f-81c0-4bcc-9b05-21804f76b1eb,DESPESA,2025-11-01,8000.00,terceirizados,Locação Trucado 02,,CONFIRMADO,,,2025-12-03 16:18:29.725089+00,,false,gestao,,2,,cabralia,0.00,,false
055f5b1a-9201-488c-a9b7-fecf4a8a2fce,DESPESA,2025-10-01,5315.00,funcionario,Salário Operador Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 01:18:51.641003+00,,true,now,12,,,cabralia,0.00,,false
0564fde9-dd00-49a1-8108-45a1a7b065a6,DESPESA,2026-02-01,12000.00,terceirizados,Locação Caçamba 03,,CONFIRMADO,,,2025-12-03 16:18:26.136934+00,,false,particular,,5,,cabralia,0.00,,false
061e1744-ca3b-448f-819f-a6668f37df26,DESPESA,2026-09-01,21000.00,terceirizados,Locação Caçamba 03 Felipe,,CONFIRMADO,,,2025-12-03 16:18:14.280111+00,,false,felipe_viatransportes,,12,,cabralia,0.00,,false
06419f46-65ab-4674-ab01-a091f0678291,DESPESA,2025-10-01,21000.00,terceirizados,Locação Caçamba 02 Felipe,,CONFIRMADO,,,2025-12-02 17:21:14.568387+00,,true,felipe_viatransportes,12,,,cabralia,0.00,,false
06bb6c58-d237-4ddc-bf47-b69b14e03fd5,DESPESA,2025-11-01,21000.00,terceirizados,Locação Caçamba 03 Felipe,,CONFIRMADO,,,2025-12-03 16:18:13.525596+00,,false,felipe_viatransportes,,2,,cabralia,0.00,,false
07037377-d521-4e7a-b17b-aee20a51ec50,DESPESA,2026-04-01,18000.00,equipamentos,Locação Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:04.073982+00,,false,now,,7,,cabralia,0.00,,false
087342cd-b295-427b-af17-6c66e38b0b4c,DESPESA,2026-02-01,45986.44,terceirizados,Locação Motoniveladora Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:16.486152+00,"__DEBIT__:{""amount"":5315,""description"":""Operador""}",false,ronaldo,,5,,cabralia,0.00,,false
09064d55-3efe-4a63-84dd-cf47da27a4a6,DESPESA,2025-11-01,10000.00,terceirizados,Locação Trucado 01,,CONFIRMADO,,,2025-12-03 16:18:28.787122+00,,false,gestao,,2,,cabralia,0.00,,false
095330bd-3049-44ea-a241-017fb27facea,DESPESA,2026-08-01,3581.66,funcionario,Salário Operador Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-03 16:18:22.037514+00,,false,now,,11,,cabralia,0.00,,false
0a5ff1f6-8aea-451b-b679-adf954d31b89,DESPESA,2025-10-02,3581.66,funcionario,Salário Operador Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-03 01:21:39.599197+00,,true,now,12,,,cabralia,0.00,,false
0aa67f8b-e6b6-400b-8977-95293cb8f2e3,DESPESA,2026-09-01,22000.00,equipamentos,Locação Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-04 09:18:29.783521+00,,false,now,,12,,cabralia,0.00,,false
0b65832a-33ed-4307-928f-aaaa05d4cba3,DESPESA,2025-11-01,3256.00,funcionario,Salário Operador Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:23.173522+00,,false,now,,2,,cabralia,0.00,,false
0b8ebd20-bdaa-4fb3-96cc-5acda8f9ff76,DESPESA,2025-12-01,5315.00,funcionario,Salário Operador Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:19.6014+00,,false,now,,3,,cabralia,0.00,,false
0c2de214-024c-47b8-be28-233d6ab0d4f2,DESPESA,2026-02-01,5315.00,funcionario,Salário Operador Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:19.754246+00,,false,now,,5,,cabralia,0.00,,false
0c321767-4652-42ff-98ac-9487daaeec16,DESPESA,2026-08-01,22000.00,equipamentos,Locação Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-04 09:18:29.636373+00,,false,now,,11,,cabralia,0.00,,false
0c47b871-cee8-4d3b-ac91-d1f01e414a70,DESPESA,2025-12-01,10692.12,terceirizados,Locação Estacionárias Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:18.16349+00,,false,ronaldo,,3,,cabralia,0.00,,false
0c815431-c178-4020-8a06-c0ef4bc0348f,DESPESA,2026-04-01,10000.00,equipamentos,Locação Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:07.939194+00,,false,now,,7,,cabralia,0.00,,false
0c8b3361-e936-40ad-92c0-992f1b009790,DESPESA,2026-07-01,5500.00,gestor,Salário Gestor,,CONFIRMADO,,,2025-12-03 23:12:58.952853+00,,false,now,,10,,cabralia,0.00,,false
0d71098c-d7c5-4826-b343-e15352cbfb54,DESPESA,2026-01-01,131924.60,impostos,Imposto Now,,CONFIRMADO,,,2025-12-03 16:46:32.144574+00,,false,imposto,,4,,cabralia,0.00,,false
0dab84f3-6429-4907-a80b-fef3cbd6b9b5,DESPESA,2026-02-01,22000.00,equipamentos,Locação Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-04 09:18:28.56935+00,,false,now,,5,,cabralia,0.00,,false
0f5486f3-0993-40e7-8d7f-e0491a86958d,DESPESA,2025-11-01,21000.00,terceirizados,Locação Caçamba 02 Felipe,,CONFIRMADO,,,2025-12-03 16:18:12.60238+00,,false,felipe_viatransportes,,2,,cabralia,0.00,,false
112c26ae-9b42-4d73-8008-4781b836d297,DESPESA,2026-07-01,3581.66,terceirizados,Salário Operador Prancha Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:32.293894+00,,false,terceirizados,,10,,cabralia,0.00,,false
112dfef9-5c90-43d7-bb6f-4f9f188bc30f,DESPESA,2026-03-01,2000.00,funcionario,Salário Encarregado,,CONFIRMADO,,,2025-12-03 16:18:33.859597+00,,false,now,,6,,cabralia,0.00,,false
11679e3e-8aa4-4c59-a7ae-f10e94684e12,DESPESA,2026-01-01,10000.00,terceirizados,Locação Pá Carregadeira,,CONFIRMADO,,,2025-12-03 18:11:30.711084+00,,false,gestao,,4,,cabralia,0.00,,false
126bfcef-b48f-4201-8e59-7fa4ef22e073,DESPESA,2026-03-01,22000.00,equipamentos,Locação Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-03 16:18:06.940029+00,,false,now,,6,,cabralia,0.00,,false
12d00412-b07d-4994-ad83-5d52b01d10ec,DESPESA,2026-02-01,18000.00,equipamentos,Locação Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:03.911113+00,,false,now,,5,,cabralia,0.00,,false
13070ddd-a553-43e0-9d27-61664fb4246c,DESPESA,2026-05-01,15000.00,terceirizados,Locação Baú,,CONFIRMADO,,,2025-12-03 16:18:28.297801+00,,false,gestao,,8,,cabralia,0.00,,false
1307326e-e177-4b93-9259-c59690d482b4,DESPESA,2025-11-01,30000.00,equipamentos,Locação Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:04.631531+00,,false,now,,2,,cabralia,0.00,,false
133593de-41f0-485d-8edb-691f4738bae0,DESPESA,2025-11-01,10000.00,equipamentos,Locação Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:07.562624+00,,false,now,,2,,cabralia,0.00,,false
13db04d6-d22e-48a7-bbec-eff39b25afcc,DESPESA,2026-03-01,14000.00,terceirizados,Locação Poliguindaste Felipe,,CONFIRMADO,,,2025-12-03 16:18:14.736232+00,,false,felipe_viatransportes,,6,,cabralia,0.00,,false
13db3d65-505d-4d8b-8049-e3a7398d6f13,DESPESA,2026-08-01,3581.66,funcionario,Salário Operador Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:21.121975+00,,false,now,,11,,cabralia,0.00,,false
